Timestamp,Name,Email,Date of birth,Age,Province,Gender,Year of Study ,Field of Study,How many hours per day do you use each platform? [Facebook],How many hours per day do you use each platform? [Instagram],How many hours per day do you use each platform? [Snapchat],How many hours per day do you use each platform? [Tiktok],How many hours per day do you use each platform? [X (Twitter)],How many hours per day do you use each platform? [Other],"On average, how many hours of sleep do you get per night?",What devices do you use to access social media,Please indicate how much you agree or disagree with the following statements about social media and your mental health: [Social media helps me feel connected to others.],Please indicate how much you agree or disagree with the following statements about social media and your mental health: [Social media makes me feel anxious or stressed.],Please indicate how much you agree or disagree with the following statements about social media and your mental health: [Social media distracts me from academic work.],Please indicate how much you agree or disagree with the following statements about social media and your mental health: [Social media improves my mood when I feel lonely.],Select any of the following reasons for using social media:
3/10/2026 08:00:00,Arjun Patel,arjun.patel@icloud.com,4/29/2006,19.0,British Columbia,Female,1.0,Physics,1.0,2.0,1.0,3.0,0.0,0.0,7.0,"Smartphone, Tablet",Agree,Agree,Neutral,Agree,"Staying in touch with friends / family, Staying informed about news/events"
3/13/2026 17:00:00,Elena Chen,elena.chen@outlook.com,4/6/2004,21.0,Alberta,Female,1.0,econ,1.0,1.0,1.0,1.0,0.0,0.0,7.0,"Smartphone, Laptop, Desktop computer",Neutral,Strongly disagree,Disagree,Agree,"Entertainment / passing time, Academic or professional networking"
3/4/2026 19:00:00,Yuki Martin,,3/21/2002,23.0,ON,Male,2.0,stats,0.0,1.0,1.0,1.0,0.0,0.0,7.0,Gaming console,Neutral,Disagree,Strongly disagree,Neutral,Academic or professional networking
3/7/2026 13:00:00,Ethan Anderson,ethan.anderson@outlook.com,,19.0,Québec,Male,4.0,biology,1.0,1.0,1.0,1.0,0.0,0.0,7.0,Laptop,Agree,Disagree,Disagree,Neutral,"Entertainment / passing time, Self-expression / creativity"
3/10/2026 18:00:00,Ava Lopez,ava.lopez@icloud.com,8/9/2006,19.0,BC,Male,3.0,Biolgy,1.0,2.0,1.0,2.0,0.0,0.0,7.0,"Smartphone, Laptop, Tablet",Neutral,Neutral,Neutral,Agree,"Staying in touch with friends / family, Academic or professional networking, Self-expression / creativity"
3/5/2026 19:00:00,Elena Taylor,,5/8/2003,,British Columbia,Female,2.0,econ,1.0,2.0,1.0,2.0,0.0,0.0,7.0,"Smartphone, Desktop computer",Agree,Disagree,Disagree,Neutral,"Staying in touch with friends / family, Entertainment / passing time, Academic or professional networking, Staying informed about news/events, Self-expression / creativity"
1/1/2026 09:16:00,Jamal Clark,jamal.clark@viu.ca,4/14/2001,24.0,British Columbia,Female,2.0,engineering,0.0,1.0,0.0,1.0,0.0,0.0,8.0,"Smartphone, Tablet",Agree,Disagree,Disagree,Agree,"Entertainment / passing time, Academic or professional networking, Staying informed about news/events"
3/19/2026 17:00:00,Yuki Brown,yuki.brown@proton.me,,20.0,Alberta,Female,1.0,enginering,1.0,1.0,1.0,1.0,0.0,0.0,7.0,"Smartphone, Laptop, Tablet, Smart TV",Agree,Neutral,Disagree,Neutral,"Entertainment / passing time, Staying informed about news/events, Self-expression / creativity"
3/12/2026 14:00:00,Mia Gonzalez,mia.gonzalez@outlook.com,10/29/2001,24.0,Nova Scotia,Female,1.0,Computer Science,1.0,1.0,1.0,1.0,0.0,0.0,7.0,"Smartphone, Laptop",Agree,Disagree,Disagree,Agree,"Staying in touch with friends / family, Entertainment / passing time, Academic or professional networking, Staying informed about news/events"
3/5/2026 14:00:00,Noor Roy,noor.roy@gmail.com,8/31/2001,24.0,Alta,Female,,engineering,1.0,1.0,1.0,1.0,0.0,0.0,8.0,Smartphone,Agree,Disagree,Disagree,Agree,"Staying in touch with friends / family, Entertainment / passing time, Academic or professional networking, Self-expression / creativity"
3/4/2026 18:00:00,Sofia Gonzalez,sofia.gonzalez@mcgill.ca,8/26/2007,18.0,,Female,4.0,Visual Art,1.0,2.0,1.0,1.0,0.0,0.0,6.0,Laptop,Agree,Disagree,Disagree,Neutral,"Staying in touch with friends / family, Entertainment / passing time, Staying informed about news/events, Self-expression / creativity"
3/5/2026 17:00:00,Noor Moore,noor.moore@gmail.com,10/23/2007,18.0,ON,Male,2.0,CompSci,1.0,1.0,1.0,1.0,0.0,0.0,8.0,Smartphone,Agree,Neutral,Disagree,Agree,"Staying in touch with friends / family, Academic or professional networking, Self-expression / creativity"
3/3/2026 18:00:00,Aisha Chen,aisha.chen@icloud.com,10/4/2008,17.0,British Columbia,Male,1.0,econ,0.0,1.0,0.0,1.0,0.0,0.0,9.0,"Smartphone, Tablet",Agree,Disagree,Disagree,Strong agree,"Staying in touch with friends / family, Entertainment / passing time, Staying informed about news/events"
3/3/2026 14:00:00,Priya Lopez,priya.lopez@yahoo.com,12/4/2002,23.0,MB,Male,4.0,biology,1.0,2.0,2.0,2.0,,0.0,,"Laptop, Gaming console",Neutral,Disagree,Neutral,Neutral,"Entertainment / passing time, Academic or professional networking"
3/12/2026 14:00:00,Diego White,diego.white@gmail.com,7/5/2002,23.0,British Columbia,Male,1.0,psychology,0.0,1.0,1.0,1.0,0.0,0.0,8.0,"Smartphone, Laptop",Strong agree,Strongly disagree,Disagree,Agree,"Staying in touch with friends / family, Academic or professional networking"
3/2/2026 16:00:00,Mateo Lewis,mateo.lewis@outlook.com,,,BC,Male,2.0,CompSci,1.0,1.0,1.0,1.0,0.0,0.0,8.0,Laptop,Agree,Disagree,Disagree,Neutral,"Entertainment / passing time, Staying informed about news/events"
3/1/2026 15:00:00,Isabella Taylor,,1/31/2003,23.0,B.C.,Female,,biology,1.0,1.0,1.0,1.0,0.0,0.0,7.0,"Laptop, Tablet",Agree,Disagree,Disagree,Agree,Academic or professional networking
3/19/2026 17:00:00,Hana Hernandez,,3/18/2004,22.0,BC,Female,3.0,comp sci,1.0,2.0,1.0,1.0,0.0,0.0,6.0,"Smartphone, Laptop",Agree,Disagree,Disagree,Agree,"Entertainment / passing time, Academic or professional networking"
3/17/2026 17:00:00,Noah Wilson,noah.wilson@gmail.com,,,BC,Female,2.0,CompSci,1.0,2.0,1.0,2.0,0.0,0.0,7.0,"Laptop, Tablet",Agree,Neutral,Disagree,Neutral,"Entertainment / passing time, Academic or professional networking"
1/1/2026 09:29:00,Priya Patel,priya.patel@hotmail.com,10/18/2003,22.0,British Columbia,Male,1.0,Visual Art,1.0,2.0,1.0,2.0,0.0,0.0,,"Smartphone, Laptop, Tablet",Neutral,Disagree,Disagree,Agree,"Staying in touch with friends / family, Entertainment / passing time, Academic or professional networking, Self-expression / creativity"
3/19/2026 11:00:00,Sofia Harris,sofia.harris@uwaterloo.ca,,,British Columbia,Prefer not to say,1.0,Biology,1.0,2.0,1.0,3.0,0.0,0.0,5.0,,Neutral,Neutral,Neutral,Neutral,"Staying in touch with friends / family, Entertainment / passing time, Academic or professional networking, Staying informed about news/events"
3/10/2026 19:00:00,Hana Chen,hana.chen@proton.me,,21.0,British Columbia,Female,2.0,Computer Science,1.0,1.0,1.0,1.0,0.0,0.0,,"Smartphone, Laptop, Gaming console, Smart TV",Neutral,Strongly disagree,Disagree,Agree,Academic or professional networking
3/3/2026 19:00:00,Arjun Lopez,arjun.lopez@gmail.com,,,British Columbia,Female,3.0,stats,1.0,2.0,1.0,1.0,0.0,0.0,7.0,"Smartphone, Laptop, Desktop computer, Tablet",Agree,Neutral,Disagree,Agree,"Staying in touch with friends / family, Entertainment / passing time, Academic or professional networking, Staying informed about news/events, Self-expression / creativity"
3/15/2026 14:00:00,Lucas Clark,,1/15/2008,,british columbia,Female,2.0,,1.0,2.0,2.0,3.0,0.0,0.0,5.0,"Smartphone, Laptop, Desktop computer, Gaming console",Agree,Agree,Neutral,Neutral,"Entertainment / passing time, Self-expression / creativity"
3/6/2026 17:00:00,Oscar Hernandez,oscar.hernandez@icloud.com,2/2/2003,23.0,British Columbia,Male,3.0,comp sci,1.0,2.0,1.0,3.0,0.0,0.0,5.0,"Laptop, Tablet",Agree,Agree,Neutral,Neutral,"Entertainment / passing time, Staying informed about news/events, Self-expression / creativity"
3/12/2026 19:00:00,Isabella Wilson,isabella.wilson@uvic.ca,4/29/2009,16.0,BC,Male,1.0,Engineering,1.0,1.0,1.0,1.0,0.0,0.0,7.0,,Neutral,Disagree,Disagree,Neutral,Staying in touch with friends / family
3/8/2026 08:00:00,Oscar Moore,oscar.moore@icloud.com,4/16/2001,24.0,ON,Female,4.0,chem,1.0,1.0,1.0,1.0,0.0,0.0,8.0,"Tablet, Smart TV",Strong agree,Disagree,Disagree,Agree,"Staying in touch with friends / family, Entertainment / passing time, Academic or professional networking, Self-expression / creativity"
3/3/2026 10:00:00,Diego Smith,diego.smith@gmail.com,2/22/2008,18.0,B.C.,Female,1.0,Physics,1.0,1.0,1.0,1.0,0.0,0.0,7.0,"Smartphone, Laptop, Tablet",Neutral,Disagree,Neutral,Disagree,"Staying in touch with friends / family, Staying informed about news/events, Self-expression / creativity"
3/4/2026 10:00:00,Noor Anderson,noor.anderson@proton.me,7/23/2006,19.0,B.C.,Female,1.0,psychology,1.0,2.0,2.0,3.0,0.0,0.0,5.0,"Laptop, Desktop computer",Neutral,Neutral,Disagree,Agree,"Staying in touch with friends / family, Academic or professional networking, Self-expression / creativity"
3/8/2026 11:00:00,Kai White,kai.white@gmail.com,10/8/2009,16.0,Alta,Male,2.0,Psychology,1.0,1.0,1.0,1.0,0.0,0.0,,"Smartphone, Gaming console",Strong agree,Strongly disagree,Disagree,Agree,"Staying in touch with friends / family, Academic or professional networking"
3/7/2026 15:00:00,Kai Patel,kai.patel@outlook.com,10/25/2003,22.0,,Male,1.0,Psychology,1.0,1.0,1.0,1.0,0.0,0.0,7.0,Laptop,Neutral,Disagree,Disagree,Disagree,"Staying informed about news/events, Self-expression / creativity"
3/5/2026 16:00:00,Isabella Brown,isabella.brown@yahoo.com,5/13/2003,,Ontario,Male,2.0,Chemistry,1.0,1.0,1.0,1.0,0.0,0.0,7.0,Smartphone,Neutral,Disagree,Disagree,Neutral,Entertainment / passing time
3/11/2026 18:00:00,Noor Ali,noor.ali@concordia.ca,4/13/2006,19.0,B.C.,Female,1.0,econ,1.0,2.0,1.0,1.0,0.0,0.0,7.0,"Smartphone, Gaming console, Smart TV",Agree,Disagree,Disagree,Agree,"Entertainment / passing time, Academic or professional networking, Self-expression / creativity"
3/19/2026 09:00:00,Aisha Singh,aisha.singh@outlook.com,5/12/2004,21.0,BC,Female,2.0,Chemistry,1.0,2.0,1.0,3.0,0.0,0.0,6.0,"Gaming console, Smart TV",Agree,Neutral,Neutral,Neutral,Self-expression / creativity
3/1/2026 18:00:00,Sofia Smith,sofia.smith@gmail.com,9/7/2006,19.0,B.C.,Male,4.0,Economics,0.0,1.0,1.0,1.0,0.0,0.0,,"Smartphone, Laptop, Desktop computer",Strong agree,Disagree,Disagree,,"Staying in touch with friends / family, Entertainment / passing time, Academic or professional networking, Staying informed about news/events, Self-expression / creativity"
3/16/2026 19:00:00,Ava Lee,ava.lee@utoronto.ca,12/28/2009,16.0,BC,,2.0,Chemistry,1.0,2.0,2.0,2.0,0.0,0.0,6.0,"Smartphone, Tablet",Agree,Neutral,Neutral,Agree,"Staying in touch with friends / family, Staying informed about news/events, Self-expression / creativity"
3/4/2026 13:00:00,Ava Moore,ava.moore@proton.me,12/24/2003,22.0,Ontario,Male,4.0,Computer Science,1.0,2.0,1.0,1.0,0.0,0.0,6.0,"Smartphone, Laptop",Neutral,Disagree,Disagree,Neutral,Self-expression / creativity
3/12/2026 15:00:00,Priya Wilson,priya.wilson@proton.me,11/3/2000,25.0,ON,Non-binary,2.0,Chemistry,1.0,2.0,1.0,2.0,0.0,0.0,6.0,"Smartphone, Laptop, Desktop computer, Tablet",Agree,Agree,Neutral,Agree,"Entertainment / passing time, Academic or professional networking, Staying informed about news/events, Self-expression / creativity"
3/17/2026 19:00:00,Jamal Lopez,jamal.lopez@gmail.com,5/15/2001,24.0,B.C.,Male,,Economics,1.0,1.0,1.0,1.0,0.0,0.0,8.0,Smart TV,Agree,Disagree,Disagree,Agree,Self-expression / creativity
3/18/2026 17:00:00,Arjun Anderson,arjun.anderson@hotmail.com,11/18/2003,22.0,B.C.,Male,3.0,CompSci,1.0,1.0,1.0,1.0,0.0,0.0,8.0,"Smartphone, Laptop",Strong agree,Disagree,Disagree,Agree,"Staying in touch with friends / family, Academic or professional networking, Self-expression / creativity"
3/6/2026 14:00:00,Chloe Wilson,chloe.wilson@carleton.ca,8/18/2009,16.0,BC,Non-binary,3.0,engineering,1.0,2.0,2.0,2.0,0.0,0.0,6.0,"Smartphone, Desktop computer, Tablet, Gaming console",Strong agree,Neutral,Neutral,Neutral,"Staying in touch with friends / family, Entertainment / passing time, Academic or professional networking"
3/19/2026 20:00:00,Ethan Taylor,ethan.taylor@proton.me,7/4/2008,17.0,British Columbia,Female,1.0,chem,1.0,2.0,1.0,1.0,0.0,0.0,7.0,"Smartphone, Laptop",Agree,Disagree,Disagree,Neutral,"Staying in touch with friends / family, Entertainment / passing time, Academic or professional networking, Self-expression / creativity"
3/2/2026 17:00:00,Sofia Roy,sofia.roy@proton.me,2/19/2006,20.0,british columbia,Male,4.0,CompSci,1.0,2.0,1.0,2.0,0.0,0.0,7.0,"Smartphone, Tablet",Neutral,Disagree,,Strong agree,"Staying in touch with friends / family, Entertainment / passing time, Academic or professional networking, Staying informed about news/events, Self-expression / creativity"
3/17/2026 12:00:00,Noor Lewis,noor.lewis@hotmail.com,8/1/2005,20.0,BC,Female,4.0,Chemistry,1.0,1.0,1.0,1.0,0.0,0.0,8.0,Tablet,Strong agree,Neutral,Disagree,Agree,"Staying in touch with friends / family, Academic or professional networking, Staying informed about news/events, Self-expression / creativity"
3/5/2026 11:00:00,Emma Thomas,emma.thomas@yahoo.com,8/23/2006,19.0,ontario,Female,1.0,Statistics,1.0,1.0,1.0,1.0,0.0,0.0,8.0,"Smartphone, Laptop, Desktop computer, Smart TV",Strong agree,Disagree,Disagree,Agree,"Academic or professional networking, Staying informed about news/events"
3/12/2026 13:00:00,Mei Thomas,mei.thomas@hotmail.com,12/20/2004,21.0,British Columbia,Male,3.0,econ,1.0,1.0,1.0,1.0,0.0,0.0,7.0,"Smartphone, Laptop, Tablet, Gaming console",Agree,Disagree,Disagree,Neutral,"Entertainment / passing time, Academic or professional networking, Staying informed about news/events"
3/7/2026 15:00:00,Hana Ali,hana.ali@hotmail.com,11/9/2000,25.0,B.C.,Male,4.0,Creative Writing,1.0,2.0,1.0,2.0,0.0,0.0,7.0,Smartphone,Agree,Disagree,Disagree,Agree,"Staying in touch with friends / family, Entertainment / passing time, Self-expression / creativity"
3/11/2026 20:00:00,Mia Wilson,mia.wilson@uwaterloo.ca,3/9/2009,,NS,Male,2.0,Biolgy,1.0,1.0,1.0,1.0,0.0,0.0,8.0,"Desktop computer, Tablet, Gaming console",Agree,Disagree,Disagree,Agree,"Staying in touch with friends / family, Entertainment / passing time, Academic or professional networking, Self-expression / creativity"
3/2/2026 17:00:00,Yuki Clark,yuki.clark@gmail.com,7/1/2004,21.0,british columbia,Female,2.0,psycology,1.0,1.0,1.0,1.0,0.0,0.0,7.0,"Smartphone, Laptop, Desktop computer, Tablet",Agree,Disagree,Disagree,Strong agree,"Staying informed about news/events, Self-expression / creativity"
3/13/2026 16:00:00,Jamal Thomas,jamal.thomas@brocku.ca,3/23/2002,23.0,B.C.,Female,3.0,econ,1.0,1.0,1.0,1.0,0.0,0.0,8.0,"Smartphone, Gaming console",Disagree,Disagree,Disagree,Agree,"Staying in touch with friends / family, Academic or professional networking, Self-expression / creativity"
3/16/2026 11:00:00,Isabella Lopez,isabella.lopez@carleton.ca,9/23/2003,22.0,british columbia,,3.0,Creative Writing,1.0,1.0,1.0,1.0,0.0,0.0,7.0,"Laptop, Gaming console, Smart TV",Strong agree,Disagree,Disagree,Neutral,"Staying in touch with friends / family, Entertainment / passing time, Self-expression / creativity"
3/10/2026 14:00:00,Ethan Lopez,ethan.lopez@icloud.com,11/12/2000,25.0,AB,Male,,stats,1.0,2.0,1.0,1.0,0.0,0.0,7.0,Laptop,Agree,Disagree,Neutral,Neutral,"Staying in touch with friends / family, Academic or professional networking, Staying informed about news/events"
3/13/2026 12:00:00,Noah Anderson,noah.anderson@outlook.com,4/11/2005,20.0,British Columbia,Male,4.0,Chemistry,1.0,1.0,1.0,1.0,0.0,0.0,7.0,"Smartphone, Laptop",Agree,Disagree,Disagree,Agree,Academic or professional networking
3/10/2026 10:00:00,Nina Harris,nina.harris@ucalgary.ca,10/9/2002,23.0,Nova Scotia,Male,3.0,engineering,1.0,2.0,1.0,1.0,0.0,0.0,7.0,"Smartphone, Laptop",Agree,Disagree,Disagree,Neutral,"Staying in touch with friends / family, Staying informed about news/events"
3/19/2026 12:00:00,Olivia Anderson,olivia.anderson@uottawa.ca,3/9/2007,19.0,british columbia,Male,3.0,chem,1.0,1.0,1.0,1.0,0.0,0.0,6.0,Laptop,Agree,Disagree,Disagree,Agree,Staying informed about news/events
3/11/2026 20:00:00,Ravi Hernandez,ravi.hernandez@outlook.com,4/9/2008,17.0,BC,Prefer not to say,1.0,Physics,0.0,1.0,,1.0,0.0,0.0,9.0,Smartphone,,Disagree,Strongly disagree,Neutral,"Entertainment / passing time, Academic or professional networking, Staying informed about news/events, Self-expression / creativity"
3/1/2026 09:00:00,Isabella Lee,isabella.lee@yahoo.com,1/24/2002,24.0,British Columbia,Male,1.0,Economics,1.0,1.0,1.0,1.0,0.0,0.0,,"Smartphone, Laptop, Smart TV",Agree,Disagree,Disagree,Agree,"Staying in touch with friends / family, Entertainment / passing time, Self-expression / creativity"
3/5/2026 19:00:00,Ravi Harris,ravi.harris@dal.ca,6/24/2009,16.0,british columbia,Non-binary,3.0,CompSci,0.0,1.0,1.0,1.0,0.0,0.0,7.0,"Smartphone, Laptop",Agree,Strongly disagree,Disagree,Agree,"Staying in touch with friends / family, Entertainment / passing time, Academic or professional networking, Self-expression / creativity"
3/1/2026 18:00:00,Lucas Wilson,lucas.wilson@hotmail.com,3/24/2001,24.0,british columbia,Female,2.0,Computer Science,1.0,2.0,1.0,1.0,0.0,0.0,6.0,,Agree,,Disagree,Neutral,"Academic or professional networking, Staying informed about news/events"
3/1/2026 09:00:00,Jamal Young,jamal.young@proton.me,7/13/2008,17.0,AB,Female,1.0,Statistics,1.0,1.0,1.0,1.0,0.0,0.0,,"Laptop, Desktop computer, Gaming console",Agree,Disagree,Strongly disagree,Neutral,"Staying in touch with friends / family, Staying informed about news/events, Self-expression / creativity"
3/12/2026 11:00:00,Oscar Singh,oscar.singh@hotmail.com,8/19/2000,25.0,british columbia,Female,3.0,stats,1.0,1.0,1.0,1.0,0.0,0.0,8.0,"Smartphone, Laptop",Strong agree,Neutral,Strongly disagree,Agree,"Staying in touch with friends / family, Academic or professional networking, Staying informed about news/events"
3/9/2026 10:00:00,Chloe Moore,chloe.moore@hotmail.com,,20.0,Manitoba,Male,2.0,stats,1.0,1.0,1.0,1.0,0.0,0.0,7.0,"Smartphone, Tablet, Smart TV",Disagree,Disagree,Disagree,Agree,"Entertainment / passing time, Academic or professional networking"
3/12/2026 08:00:00,Kai Brown,kai.brown@trentu.ca,12/1/2008,17.0,British Columbia,Male,1.0,Engineering,1.0,1.0,1.0,1.0,0.0,0.0,8.0,"Laptop, Gaming console",Agree,Disagree,Disagree,Neutral,"Staying informed about news/events, Self-expression / creativity"
3/9/2026 15:00:00,Diego White,diego.white@uvic.ca,7/1/2005,20.0,Nova Scotia,Male,2.0,Biology,1.0,1.0,1.0,1.0,0.0,0.0,8.0,"Smartphone, Gaming console",Agree,,Disagree,Neutral,"Staying in touch with friends / family, Entertainment / passing time, Staying informed about news/events, Self-expression / creativity"
3/3/2026 20:00:00,Noah Jackson,noah.jackson@hotmail.com,,24.0,british columbia,Male,3.0,psycology,1.0,1.0,1.0,1.0,0.0,0.0,8.0,"Smartphone, Desktop computer",Agree,Disagree,Disagree,Agree,Self-expression / creativity
3/10/2026 10:00:00,Elena Harris,,4/4/2009,16.0,Quebec,,,Visual Art,1.0,2.0,1.0,2.0,0.0,0.0,,"Smartphone, Laptop",Agree,Neutral,Disagree,Neutral,"Staying informed about news/events, Self-expression / creativity"
1/1/2026 10:16:00,Priya White,priya.white@ucalgary.ca,1/15/2006,20.0,ON,Male,3.0,Creative Writing,1.0,2.0,1.0,2.0,0.0,0.0,6.0,"Smartphone, Laptop, Desktop computer",Strong agree,Disagree,Disagree,Agree,"Academic or professional networking, Staying informed about news/events"
3/12/2026 12:00:00,Zara Singh,zara.singh@outlook.com,1/12/2006,20.0,BC,Male,3.0,psycology,1.0,2.0,1.0,3.0,0.0,0.0,5.0,Smartphone,Agree,Disagree,Neutral,Neutral,"Staying in touch with friends / family, Entertainment / passing time, Academic or professional networking, Staying informed about news/events, Self-expression / creativity"
3/5/2026 12:00:00,Nina Jackson,nina.jackson@brocku.ca,,19.0,british columbia,Male,,Psychology,1.0,1.0,1.0,1.0,0.0,0.0,7.0,Smartphone,Neutral,Disagree,Neutral,Agree,"Staying in touch with friends / family, Academic or professional networking, Staying informed about news/events"
3/6/2026 18:00:00,Jamal Thomas,jamal.thomas@hotmail.com,2/4/2006,20.0,british columbia,Female,,psychology,1.0,1.0,1.0,1.0,0.0,0.0,8.0,"Smartphone, Desktop computer",Agree,Disagree,Disagree,Neutral,"Academic or professional networking, Staying informed about news/events, Self-expression / creativity"
3/10/2026 15:00:00,Oscar Hernandez,oscar.hernandez@outlook.com,,22.0,Quebec,Non-binary,1.0,comp sci,1.0,1.0,1.0,1.0,0.0,0.0,7.0,Smartphone,,Strongly disagree,Disagree,Agree,"Staying in touch with friends / family, Academic or professional networking"
3/14/2026 17:00:00,Liam Hernandez,liam.hernandez@icloud.com,1/10/2005,21.0,British Columbia,Male,3.0,psycology,0.0,1.0,1.0,1.0,0.0,0.0,8.0,"Smartphone, Laptop, Tablet, Gaming console",Agree,Disagree,Disagree,,"Academic or professional networking, Self-expression / creativity"
3/10/2026 10:00:00,Ravi Martin,ravi.martin@ontariotechu.ca,2/23/2006,20.0,ontario,,3.0,Engineering,1.0,1.0,1.0,1.0,0.0,0.0,8.0,Laptop,Neutral,Disagree,Disagree,Agree,"Entertainment / passing time, Academic or professional networking, Staying informed about news/events, Self-expression / creativity"
3/3/2026 17:00:00,Chloe Brown,chloe.brown@gmail.com,3/4/2009,17.0,B.C.,Female,1.0,Visual Art,1.0,2.0,2.0,3.0,0.0,0.0,5.0,"Smartphone, Gaming console",Agree,Neutral,Disagree,Neutral,"Staying in touch with friends / family, Entertainment / passing time, Academic or professional networking, Staying informed about news/events, Self-expression / creativity"
3/5/2026 16:00:00,Emma Lee,emma.lee@viu.ca,8/14/2009,16.0,MB,Male,3.0,Chemistry,1.0,1.0,1.0,1.0,0.0,0.0,7.0,"Smartphone, Laptop, Gaming console",Agree,Disagree,,Neutral,"Staying in touch with friends / family, Entertainment / passing time, Academic or professional networking, Staying informed about news/events, Self-expression / creativity"
3/1/2026 13:00:00,Mia Martin,mia.martin@outlook.com,7/5/2008,17.0,BC,Female,1.0,Physics,1.0,1.0,1.0,1.0,0.0,0.0,7.0,Laptop,Neutral,Disagree,Disagree,Neutral,"Entertainment / passing time, Academic or professional networking, Staying informed about news/events, Self-expression / creativity"
3/13/2026 12:00:00,Kai Patel,kai.patel@uvic.ca,9/4/2008,17.0,ON,Female,1.0,Economics,1.0,2.0,1.0,2.0,0.0,0.0,6.0,"Laptop, Desktop computer",Agree,Neutral,Disagree,Neutral,"Staying in touch with friends / family, Entertainment / passing time, Staying informed about news/events"
3/2/2026 16:00:00,Oscar Khan,oscar.khan@yahoo.com,3/17/2004,22.0,Ontario,Male,3.0,psychology,1.0,1.0,1.0,1.0,0.0,0.0,8.0,"Tablet, Smart TV",Neutral,Disagree,Disagree,Agree,Staying in touch with friends / family
3/16/2026 20:00:00,Mateo Anderson,mateo.anderson@dal.ca,2/2/2008,18.0,BC,Male,3.0,psycology,1.0,2.0,1.0,2.0,0.0,0.0,,Smartphone,Agree,Disagree,Neutral,Neutral,"Entertainment / passing time, Staying informed about news/events"
